Ativo,Grupo,Ano,Config,Regime,Retorno_%,BH_%,DD_%,Trades
TRXUSDT,veterana,2025,EQUILIBRADO,BULL,-5.97,32.9,35.02,4
TRXUSDT,veterana,2025,AGRESSIVO,BULL,-12.95,32.9,35.02,4
XRPUSDT,veterana,2018,DEFENSIVO,LATERAL,2.65,-21.89,46.36,3
XRPUSDT,veterana,2018,EQUILIBRADO,LATERAL,13.06,-21.89,33.07,2
XRPUSDT,veterana,2018,AGRESSIVO,LATERAL,-10.63,-21.89,33.07,2
XRPUSDT,veterana,2019,DEFENSIVO,BEAR,-7.52,-44.66,36.18,8
XRPUSDT,veterana,2019,EQUILIBRADO,BEAR,-43.29,-44.66,51.46,4
XRPUSDT,veterana,2019,AGRESSIVO,BEAR,-22.95,-44.66,39.92,5
XRPUSDT,veterana,2020,DEFENSIVO,LATERAL,143.07,13.87,33.14,10
XRPUSDT,veterana,2020,EQUILIBRADO,LATERAL,73.26,13.87,24.85,6
XRPUSDT,veterana,2020,AGRESSIVO,LATERAL,7.17,13.87,30.41,6
XRPUSDT,veterana,2021,DEFENSIVO,BULL,244.56,277.94,55.87,6
XRPUSDT,veterana,2021,EQUILIBRADO,BULL,-15.31,277.94,48.62,5
XRPUSDT,veterana,2021,AGRESSIVO,BULL,5.53,277.94,47.63,5
XRPUSDT,veterana,2022,DEFENSIVO,BEAR,-21.2,-59.16,40.25,10
XRPUSDT,veterana,2022,EQUILIBRADO,BEAR,-35.34,-59.16,44.48,3
XRPUSDT,veterana,2022,AGRESSIVO,BEAR,-43.7,-59.16,51.65,3
XRPUSDT,veterana,2023,DEFENSIVO,BULL,14.62,81.65,29.04,13
XRPUSDT,veterana,2023,EQUILIBRADO,BULL,21.14,81.65,42.41,2
