media_rapida_per,media_lenta_per,media_filtro_tendencia_per,atr_periodo,atr_multiplicador,Retorno_Anualizado_%,Calmar,DD_%,Num_Trades,Sharpe,Ativo,combinacao
10,40,100,10,2.5,450.45,12.891349100844348,34.94,32,2.116071175406367,FLOKI,R:10_L:40_F:100_A:10_M:2.5
15,80,100,5,2.5,473.66,12.875189228213632,36.79,26,2.1266258356277965,PEPE,R:15_L:80_F:100_A:5_M:2.5
10,40,100,5,1.0,449.77,12.871870917469732,34.94,32,2.1385839497847074,FLOKI,R:10_L:40_F:100_A:5_M:1.0
9,40,100,20,4.0,473.4,12.86840435116063,36.79,35,2.1501197413505384,FLOKI,R:9_L:40_F:100_A:20_M:4.0
10,40,100,30,2.0,449.28,12.857943760962527,34.94,32,2.139169510039794,FLOKI,R:10_L:40_F:100_A:30_M:2.0
5,50,150,5,2.0,478.77,12.852598442595212,37.25,22,2.4403201630628644,BONK,R:5_L:50_F:150_A:5_M:2.0
10,40,100,7,3.0,448.81,12.844487493962378,34.94,32,2.112207734379385,FLOKI,R:10_L:40_F:100_A:7_M:3.0
5,50,150,7,2.0,477.22,12.839355863967665,37.17,22,2.4370555388638464,BONK,R:5_L:50_F:150_A:7_M:2.0
9,40,100,14,1.5,448.37,12.831844257111516,34.94,35,2.1262696440119955,FLOKI,R:9_L:40_F:100_A:14_M:1.5
9,40,100,7,6.0,470.58,12.827178284473156,36.69,35,2.1456128804149883,FLOKI,R:9_L:40_F:100_A:7_M:6.0
15,80,100,25,2.5,456.83,12.812459970315688,35.65,26,2.11509418291384,PEPE,R:15_L:80_F:100_A:25_M:2.5
10,40,100,14,2.5,447.52,12.807684438494512,34.94,32,2.1096620458644844,FLOKI,R:10_L:40_F:100_A:14_M:2.5
15,80,100,7,3.0,473.7,12.802013844308346,37.0,26,2.123756104135106,PEPE,R:15_L:80_F:100_A:7_M:3.0
18,80,50,25,5.0,497.95,12.767397999943324,39.0,26,2.1273363704679134,PEPE,R:18_L:80_F:50_A:25_M:5.0
