Ativo,Grupo,Interval,Ano,Periodo,Regime,Retorno_%,BH_%,DD_%,Trades,Sharpe_janela
TRXUSDT,veterana,8h,2025,2025-01-01 a 2025-08-06,BULL,-24.77,32.43,41.04,10,-1.544
XRPUSDT,veterana,8h,2018,2018-08-08 a 2018-12-31,LATERAL,2.65,-7.96,46.36,3,0.61
XRPUSDT,veterana,8h,2019,2019-01-01 a 2019-12-31,BEAR,-7.52,-44.66,36.18,8,0.093
XRPUSDT,veterana,8h,2020,2020-01-01 a 2020-12-31,LATERAL,143.07,13.87,33.14,10,1.417
XRPUSDT,veterana,8h,2021,2021-01-01 a 2021-12-31,BULL,244.56,277.94,55.87,6,1.597
XRPUSDT,veterana,8h,2022,2022-01-01 a 2022-12-31,BEAR,-21.2,-59.16,40.25,10,-0.194
XRPUSDT,veterana,8h,2023,2023-01-01 a 2023-12-31,BULL,14.62,81.65,29.04,13,0.507
XRPUSDT,veterana,8h,2024,2024-01-01 a 2024-12-31,BULL,121.77,238.52,51.18,12,1.418
XRPUSDT,veterana,8h,2025,2025-01-01 a 2025-08-06,BULL,-26.04,43.54,61.59,9,-0.285
ZECUSDT,nova,4h,2019,2019-03-21 a 2019-12-31,BEAR,22.52,-52.92,17.28,11,0.803
ZECUSDT,nova,4h,2020,2020-01-01 a 2020-12-31,BULL,51.74,132.23,31.85,28,0.95
ZECUSDT,nova,4h,2021,2021-01-01 a 2021-12-31,BULL,142.19,129.05,51.09,16,1.453
ZECUSDT,nova,4h,2022,2022-01-01 a 2022-12-31,BEAR,-28.31,-74.54,44.91,16,-0.627
ZECUSDT,nova,4h,2023,2023-01-01 a 2023-12-31,BEAR,-41.13,-27.83,44.87,18,-1.495
ZECUSDT,nova,4h,2024,2024-01-01 a 2024-12-31,BULL,-36.9,109.03,62.99,26,-0.549
ZECUSDT,nova,4h,2025,2025-01-01 a 2025-08-06,BEAR,-10.02,-35.67,30.56,11,-0.15
